Positions_in_Previous_Tenure,Total_YOE ,Org_Name,No_Of_Positions_Total,No_of_Orgs_Worked_For,Current_Tenure_Length ,Age,Gender,Followers
2,3.67,TD,1,1,1.25,37,Male,420
2,2.46,Light Up The World (LUTW),1,2,0.58,37,Male,420
1,1.83,Glacier,1,3,0.67,37,Male,420
1,1.54,Sprout App,1,4,0.34,37,Male,420
1,1.30,College Pro,1,5,0.67,37,Male,420
1,1.19,Microsoft,1,6,0.83,37,Male,420
2,3.67,TD,1,1,1.25,37,Male,420
2,2.46,Light Up The World (LUTW),1,2,0.58,37,Male,420
1,1.83,Glacier,1,3,0.67,37,Male,420
1,1.54,Sprout App,1,4,0.34,37,Male,420
1,1.30,College Pro,1,5,0.67,37,Male,420
1,1.19,Microsoft,1,6,0.83,37,Male,420
1,3.92,Microsoft,1,1,3.92,52,Male,311
1,3.92,SIG Consulting,1,2,3.00,52,Male,311
1,3.61,K3 Retail,1,3,7.67,52,Male,311
1,3.92,Microsoft,1,1,3.92,52,Male,311
1,3.92,SIG Consulting,1,2,3.00,52,Male,311
1,3.61,K3 Retail,1,3,7.67,52,Male,311
1,5.17,"Motech Industries, Inc. Solar BU",1,1,1.08,28,Female,331
1,3.12,Microsoft,1,2,2.75,28,Female,331
1,5.17,"Motech Industries, Inc. Solar BU",1,1,1.08,28,Female,331
1,3.12,Microsoft,1,2,2.75,28,Female,331
1,2.00,Cytec Solvay Group,1,1,2.00,48,Female,584
1,2.00,DuPont,1,2,2.50,48,Female,584
1,2.17,UnitedHealth Group,1,3,1.58,48,Female,584
1,2.02,Ingersoll Rand,1,4,1.75,48,Female,584
1,1.97,Allianz,2,5,1.50,48,Female,584
1,1.89,GE Capital,1,6,1.84,48,Female,584
1,1.88,Microsoft,1,7,3.67,48,Female,584
1,2.00,Cytec Solvay Group,1,1,2.00,48,Female,584
1,2.00,DuPont,1,2,2.50,48,Female,584
1,2.17,UnitedHealth Group,1,3,1.58,48,Female,584
1,2.02,Ingersoll Rand,1,4,1.75,48,Female,584
1,1.97,Allianz,2,5,1.50,48,Female,584
1,1.89,GE Capital,1,6,1.84,48,Female,584
1,1.88,Microsoft,1,7,3.67,48,Female,584
1,0.25,One Click Life formerly JUST FSG,2,1,0.76,37,Male,117
1,0.25,One Click Life formerly JUST FSG,2,1,0.76,37,Male,117
1,0.92,Google,1,1,0.92,46,Male,279
1,0.92,Microsoft,1,2,4.92,46,Male,279
1,0.92,Google,1,1,0.92,46,Male,279
1,0.92,Microsoft,1,2,4.92,46,Male,279
1,3.00,Office Depot,1,1,0.92,35,Male,1186
1,1.96,Transaction Equipment Corp,1,2,0.83,35,Male,1186
1,1.58,Microsoft,2,3,2.17,35,Male,1186
1,3.00,Office Depot,1,1,0.92,35,Male,1186
1,1.96,Transaction Equipment Corp,1,2,0.83,35,Male,1186
1,1.58,Microsoft,2,3,2.17,35,Male,1186
1,8.92,CMather Web Development,1,1,0.92,37,Male,1168
1,4.92,Mayne Pharma,1,2,2.92,37,Male,1168
1,4.25,Microsoft,1,3,0.92,37,Male,1168
1,3.42,Bendigo and Adelaide Bank,1,4,1.92,37,Male,1168
1,3.12,BHP,1,5,0.92,37,Male,1168
1,2.75,Australia Post,1,6,1.92,37,Male,1168
1,8.92,CMather Web Development,1,1,0.92,37,Male,1168
1,4.92,Mayne Pharma,1,2,2.92,37,Male,1168
1,4.25,Microsoft,1,3,0.92,37,Male,1168
1,3.42,Bendigo and Adelaide Bank,1,4,1.92,37,Male,1168
1,3.12,BHP,1,5,0.92,37,Male,1168
1,2.75,Australia Post,1,6,1.92,37,Male,1168
1,0.59,GE Capital,1,1,1.41,43,Male,985
1,1.00,IBISWorld,2,2,3.84,43,Male,985
1,1.95,Kinetic Super,1,3,3.09,43,Male,985
1,2.23,Capability Network,1,4,1.00,43,Male,985
1,1.99,Aristocrat,1,5,0.67,43,Male,985
1,0.59,GE Capital,1,1,1.41,43,Male,985
1,1.00,IBISWorld,2,2,3.84,43,Male,985
1,1.95,Kinetic Super,1,3,3.09,43,Male,985
1,2.23,Capability Network,1,4,1.00,43,Male,985
1,1.99,Aristocrat,1,5,0.67,43,Male,985
1,1.75,GU2 Radio,1,1,0.67,36,Male,172
1,1.21,Microsoft,2,2,0.83,36,Male,172
1,1.08,Lionhead Studios,1,3,0.17,36,Male,172
1,0.85,Intandem Solutions Limited,1,4,0.42,36,Male,172
1,1.75,GU2 Radio,1,1,0.67,36,Male,172
1,1.21,Microsoft,2,2,0.83,36,Male,172
1,1.08,Lionhead Studios,1,3,0.17,36,Male,172
1,0.85,Intandem Solutions Limited,1,4,0.42,36,Male,172
1,4.67,IBM,1,1,2.84,50,Male,1080
1,3.75,KPMG US,1,2,2.00,50,Male,1080
1,3.17,Deloitte,1,3,1.75,50,Male,1080
1,2.81,Rapidigm,1,4,3.75,50,Male,1080
1,3.00,Domin-8 Enterprise Solutions,2,5,3.08,50,Male,1080
1,3.01,Microsoft,3,6,4.58,50,Male,1080
1,3.24,Mapp Digital,1,7,0.67,50,Male,1080
1,4.67,IBM,1,1,2.84,50,Male,1080
1,3.75,KPMG US,1,2,2.00,50,Male,1080
1,3.17,Deloitte,1,3,1.75,50,Male,1080
1,2.81,Rapidigm,1,4,3.75,50,Male,1080
1,3.00,Domin-8 Enterprise Solutions,2,5,3.08,50,Male,1080
1,3.01,Microsoft,3,6,4.58,50,Male,1080
1,3.24,Mapp Digital,1,7,0.67,50,Male,1080
1,4.92,"SIA, Sistemas Informáticos Abiertos, S.A.",1,1,1.92,46,Male,300
1,3.42,Sybari Software,1,2,2.42,46,Male,300
1,4.92,"SIA, Sistemas Informáticos Abiertos, S.A.",1,1,1.92,46,Male,300
1,3.42,Sybari Software,1,2,2.42,46,Male,300
1,1.08,"RedWorks, Inc.",1,1,0.58,30,Female,0
1,0.83,Neo@Ogilvy,1,2,1.00,30,Female,0
1,0.89,rVue,1,3,0.17,30,Female,0
1,1.08,"RedWorks, Inc.",1,1,0.58,30,Female,0
1,0.83,Neo@Ogilvy,1,2,1.00,30,Female,0
1,0.89,rVue,1,3,0.17,30,Female,0
1,11.67,Microsoft,1,1,0.16,42,Male,2851
1,11.67,Microsoft,1,1,0.16,42,Male,2851
1,2.67,Microsoft,1,1,0.67,41,Male,1364
1,2.67,Microsoft,1,1,0.67,41,Male,1364
1,2.92,Norton Rose Fulbright,1,1,3.92,54,Male,756
1,3.42,King & Wood Mallesons,1,2,1.92,54,Male,756
1,2.92,Garfield Robbins International,1,3,2.92,54,Male,756
1,2.92,Manchester 2002 Commonwealth Games,1,4,1.92,54,Male,756
1,2.72,United Utilities,1,5,1.92,54,Male,756
1,2.58,Aristocrat,1,6,2.92,54,Male,756
1,2.63,Vodafone,1,7,2.08,54,Male,756
1,2.56,Hays,3,8,8.84,54,Male,756
1,2.92,Norton Rose Fulbright,1,1,3.92,54,Male,756
1,3.42,King & Wood Mallesons,1,2,1.92,54,Male,756
1,2.92,Garfield Robbins International,1,3,2.92,54,Male,756
1,2.92,Manchester 2002 Commonwealth Games,1,4,1.92,54,Male,756
1,2.72,United Utilities,1,5,1.92,54,Male,756
1,2.58,Aristocrat,1,6,2.92,54,Male,756
1,2.63,Vodafone,1,7,2.08,54,Male,756
1,2.56,Hays,3,8,8.84,54,Male,756
1,1.08,LG Soft India,1,1,4.92,25,Male,1323
1,3.00,LG CNS India,1,2,2.42,25,Male,1323
1,2.81,Microsoft,2,3,9.51,25,Male,1323
1,1.08,LG Soft India,1,1,4.92,25,Male,1323
1,3.00,LG CNS India,1,2,2.42,25,Male,1323
1,2.81,Microsoft,2,3,9.51,25,Male,1323
1,2.58,GE,2,1,5.01,23,Male,1440
2,3.79,Microsoft,3,2,13.01,23,Male,1440
1,2.58,GE,2,1,5.01,23,Male,1440
2,3.79,Microsoft,3,2,13.01,23,Male,1440
1,1.58,NASSCOM,1,1,0.50,40,Male,1442
1,1.04,People10 Technologies Inc.,1,2,0.92,40,Male,1442
1,1.00,Microsoft,1,3,0.58,40,Male,1442
1,1.58,NASSCOM,1,1,0.50,40,Male,1442
1,1.04,People10 Technologies Inc.,1,2,0.92,40,Male,1442
1,1.00,Microsoft,1,3,0.58,40,Male,1442
2,3.41,Microsoft,4,1,7.34,45,Male,2083
3,5.38,EXCEED IT Services & Training,1,2,0.92,45,Male,2083
2,3.89,Adobe,1,3,1.00,45,Male,2083
2,3.17,CitiXsys - iVend Retail,1,4,3.92,45,Male,2083
2,3.41,Microsoft,4,1,7.34,45,Male,2083
3,5.38,EXCEED IT Services & Training,1,2,0.92,45,Male,2083
2,3.89,Adobe,1,3,1.00,45,Male,2083
2,3.17,CitiXsys - iVend Retail,1,4,3.92,45,Male,2083
1,4.67,Nokia,3,1,45.28,69,Male,828
2,24.97,Microsoft,2,2,1.42,69,Male,828
1,4.67,Nokia,3,1,45.28,69,Male,828
2,24.97,Microsoft,2,2,1.42,69,Male,828
1,6.92,Dassault Systèmes 3DEXCITE,1,1,0.92,50,Male,241
1,3.92,FH OÖ Forschung & Entwicklung GmbH,2,2,2.84,50,Male,241
1,3.56,Microsoft,1,3,0.25,50,Male,241
